Dreams & Nightmares Case
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
Souvenir M4A4 | Red DDPAT (Factory New)
SSG 08 | Parallax (Minimal Wear)
★ Falchion Knife | Safari Mesh (Minimal Wear)
StatTrak™ MAG-7 | Firestarter (Field-Tested)
Sticker | Ex6TenZ (Foil) | Cluj-Napoca 2015
Souvenir Glock-18 | Nuclear Garden (Field-Tested)
CZ75-Auto | Silver (Factory New)
★ Nomad Knife | Stained (Field-Tested)
ESL One Katowice 2015 Legends (Holo-Foil)
StatTrak™ Music Kit | Neck Deep, The Lowlife Pack
StatTrak™ AK-47 | Bloodsport (Factory New)
StatTrak™ P90 | Shallow Grave (Field-Tested)
Galil AR | Rocket Pop (Factory New)
StatTrak™ P250 | Inferno (Field-Tested)
Souvenir USP-S | Orange Anolis (Field-Tested)
StatTrak™ MAC-10 | Malachite (Field-Tested)
★ Classic Knife | Forest DDPAT (Well-Worn)
StatTrak™ AK-47 | Aquamarine Revenge (Factory New)
Aces High Pin
★ Bayonet | Ultraviolet (Field-Tested)
Glock-18 | Red Tire (Factory New)
StatTrak™ MP9 | Food Chain (Field-Tested)
★ Gut Knife | Autotronic (Minimal Wear)
M4A1-S | Briefing (Factory New)
M4A4 | Poly Mag (Factory New)
★ Driver Gloves | Convoy (Field-Tested)
★ Skeleton Knife | Safari Mesh (Field-Tested)
★ Bowie Knife | Fade (Factory New)
StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested)
Bio-Haz Specialist | SWAT
★ Butterfly Knife | Crimson Web (Field-Tested)
Souvenir MP5-SD | Co-Processor (Minimal Wear)
StatTrak™ Sawed-Off | Serenity (Field-Tested)
M249 | Magma (Minimal Wear)
★ M9 Bayonet | Damascus Steel (Factory New)
StatTrak™ Music Kit | Daniel Sadowski, Total Domination
Souvenir AK-47 | Panthera onca (Factory New)
StatTrak™ M4A4 | Neo-Noir (Well-Worn)
★ Hand Wraps | Constrictor (Field-Tested)
Sticker | Vitality (Gold) | Paris 2023
Sticker | Grayhound Gaming (Gold) | Paris 2023
Sticker | Xyp9x (Holo) | Antwerp 2022
StatTrak™ MP7 | Abyssal Apparition (Minimal Wear)
Sticker | NiKo (Glitter) | Paris 2023
★ Huntsman Knife | Crimson Web (Field-Tested)
★ Flip Knife | Crimson Web (Field-Tested)
M249 | Blizzard Marbleized (Minimal Wear)
★ StatTrak™ Huntsman Knife | Scorched (Field-Tested)
Sticker | KENSi (Gold) | Antwerp 2022
★ Flip Knife | Lore (Well-Worn)
★ Butterfly Knife | Lore (Field-Tested)
SSG 08 | Tropical Storm (Field-Tested)
Sealed Graffiti | Shining Star (Wire Blue)
★ StatTrak™ Karambit | Doppler (Factory New)
★ Specialist Gloves | Crimson Web (Minimal Wear)
★ StatTrak™ Talon Knife | Damascus Steel (Factory New)
StatTrak™ AWP | Atheris (Field-Tested)
UMP-45 | Momentum (Well-Worn)
★ Bayonet | Ultraviolet (Minimal Wear)
Sealed Graffiti | Kiss (SWAT Blue)
StatTrak™ SG 553 | Phantom (Factory New)
Chroma Pin
★ Moto Gloves | Smoke Out (Well-Worn)
StatTrak™ MP7 | Mischief (Minimal Wear)
M4A1-S | Golden Coil (Battle-Scarred)
Glock-18 | Night (Battle-Scarred)
★ Karambit | Bright Water (Well-Worn)
Sawed-Off | Clay Ambush (Factory New)
StatTrak™ G3SG1 | High Seas (Factory New)
StatTrak™ G3SG1 | High Seas (Factory New)
MAG-7 | Core Breach (Factory New)
★ Specialist Gloves | Emerald Web (Minimal Wear)
★ M9 Bayonet | Gamma Doppler (Factory New)
★ Nomad Knife | Safari Mesh (Battle-Scarred)
StatTrak™ M249 | O.S.I.P.R. (Battle-Scarred)
Sticker | karrigan (Gold) | Paris 2023
M249 | Jungle (Factory New)
M4A4 | Temukau (Factory New)
Desert Eagle | Fennec Fox (Factory New)
MP7 | Tall Grass (Factory New)
★ Sport Gloves | Slingshot (Minimal Wear)
Five-SeveN | Berries And Cherries (Factory New)
AWP | Containment Breach (Factory New)
Dual Berettas | Emerald (Factory New)
Desert Eagle | Emerald Jörmungandr (Factory New)
MP5-SD | Phosphor (Factory New)
UMP-45 | Bone Pile (Factory New)
Tec-9 | Nuclear Threat (Minimal Wear)
Sawed-Off | Limelight (Factory New)
P90 | Virus (Factory New)
P250 | Nuclear Threat (Minimal Wear)
MAC-10 | Nuclear Garden (Factory New)
M4A4 | Radiation Hazard (Minimal Wear)
Five-SeveN | Neon Kimono (Factory New)
★ Driver Gloves | King Snake (Minimal Wear)
★ Karambit | Boreal Forest (Well-Worn)
Galil AR | Tuxedo (Well-Worn)
★ StatTrak™ Bayonet | Doppler (Factory New)
★ Ursus Knife | Ultraviolet (Minimal Wear)
M4A4 | Global Offensive (Factory New)
Souvenir AK-47 | Panthera onca (Field-Tested)
★ Talon Knife
Sticker | FURIA (Holo) | Antwerp 2022
★ Bayonet | Freehand (Well-Worn)
Sticker | Eye Contact (Holo)
Souvenir USP-S | Orange Anolis (Minimal Wear)
★ Skeleton Knife | Stained (Well-Worn)
StatTrak™ Galil AR | Connexion (Factory New)
★ Flip Knife | Autotronic (Battle-Scarred)
M4A1-S | Control Panel (Factory New)
★ Specialist Gloves | Crimson Kimono (Field-Tested)
★ M9 Bayonet | Freehand (Factory New)
Nova | Hyper Beast (Factory New)
★ Bayonet | Damascus Steel (Factory New)
★ StatTrak™ Stiletto Knife | Damascus Steel (Minimal Wear)
StatTrak™ FAMAS | ZX Spectron (Battle-Scarred)
★ Falchion Knife | Marble Fade (Factory New)
★ Huntsman Knife | Bright Water (Field-Tested)
R8 Revolver | Crazy 8 (Factory New)
StatTrak™ AWP | Chromatic Aberration (Factory New)
AUG | Torque (Factory New)
★ Shadow Daggers | Lore (Well-Worn)
Community Sticker Capsule 1
SG 553 | Colony IV (Field-Tested)
Patch | Copenhagen Flames (Gold) | Stockholm 2021
Sawed-Off | Clay Ambush (Battle-Scarred)
Sealed Graffiti | Goofy (Wire Blue)
StatTrak™ M4A4 | 龍王 (Dragon King) (Factory New)
Sealed Graffiti | Applause (Battle Green)
Sealed Graffiti | Hop (Violent Violet)
Sealed Graffiti | Chef Kiss (Bazooka Pink)
UMP-45 | Riot (Field-Tested)
Sealed Graffiti | Fart (War Pig Pink)
Sticker | gade (Foil) | Berlin 2019
Sticker | aizy (Foil) | Berlin 2019
Sticker | COLDYY1 | Katowice 2019
Souvenir G3SG1 | Desert Storm (Battle-Scarred)
Sealed Graffiti | Shining Star (Blood Red)
Sealed Graffiti | Space Soldiers | Boston 2018
Arno The Overgrown | Guerrilla Warfare
★ M9 Bayonet | Case Hardened (Minimal Wear)
Sticker | dupreeh (Gold) | Paris 2023
SCAR-20 | Cardiac (Minimal Wear)
★ StatTrak™ Ursus Knife | Case Hardened (Battle-Scarred)
Souvenir MP7 | Sunbaked (Factory New)
★ Specialist Gloves | Foundation (Well-Worn)
Sticker | Perfecto (Gold) | Paris 2023
★ Specialist Gloves | Crimson Kimono (Battle-Scarred)
★ Paracord Knife | Case Hardened (Well-Worn)
★ Paracord Knife | Case Hardened (Well-Worn)
P250 | Apep's Curse (Factory New)
Sticker | JT (Holo) | Paris 2023
StatTrak™ R8 Revolver | Llama Cannon (Field-Tested)
StatTrak™ P250 | Cartel (Field-Tested)
Nova | Blaze Orange (Field-Tested)
Souvenir Galil AR | CAUTION! (Minimal Wear)
Nova | Quick Sand (Field-Tested)
Souvenir USP-S | Road Rash (Minimal Wear)
StatTrak™ AUG | Arctic Wolf (Minimal Wear)
Sticker | FURIA (Holo) | 2020 RMR
StatTrak™ Music Kit | Meechy Darko, Gothic Luxury
★ Talon Knife | Blue Steel (Factory New)
★ Classic Knife | Crimson Web (Minimal Wear)
★ Stiletto Knife | Ultraviolet (Minimal Wear)
Dual Berettas | Cartel (Factory New)
MP5-SD | Acid Wash (Field-Tested)
CZ75-Auto | The Fuschia Is Now (Factory New)
PP-Bizon | Bamboo Print (Factory New)
StatTrak™ AUG | Fleet Flock (Factory New)
MP7 | Impire (Field-Tested)
Five-SeveN | Case Hardened (Battle-Scarred)
Sticker | FaZe Clan (Foil) | Stockholm 2021
StatTrak™ Nova | Wild Six (Well-Worn)
G3SG1 | New Roots (Factory New)
StatTrak™ P250 | See Ya Later (Factory New)
StatTrak™ Tec-9 | Avalanche (Factory New)
Copper Lambda Pin
Sticker | HellRaisers | Berlin 2019
P90 | Desert Warfare (Field-Tested)
AWP | Acheron (Well-Worn)
StatTrak™ CZ75-Auto | Red Astor (Factory New)
StatTrak™ AUG | Syd Mead (Factory New)
SG 553 | Ultraviolet (Field-Tested)
G3SG1 | Orange Kimono (Factory New)
StatTrak™ Nova | Rising Skull (Minimal Wear)
SSG 08 | Ghost Crusader (Battle-Scarred)
★ Classic Knife | Stained (Minimal Wear)
StatTrak™ P250 | Steel Disruption (Factory New)
P250 | Cartel (Factory New)
★ Stiletto Knife | Boreal Forest (Well-Worn)
USP-S | Serum (Minimal Wear)
StatTrak™ P90 | Vent Rush (Minimal Wear)
★ StatTrak™ Bayonet | Marble Fade (Factory New)
StatTrak™ Nova | Clear Polymer (Field-Tested)
Sticker | CRUC1AL (Holo) | Paris 2023
Sticker | YEKINDAR (Holo) | Paris 2023
Sticker | sh1ro (Glitter) | Rio 2022
Sticker | max (Glitter) | Antwerp 2022
Sticker | Farlig (Holo) | Antwerp 2022
Sticker | maden (Holo) | Antwerp 2022
AUG | Plague (Battle-Scarred)
FAMAS | CaliCamo (Battle-Scarred)
Sticker | Cyber Romanov (Holo)
Tec-9 | Blast From the Past (Factory New)
StatTrak™ MP9 | Hydra (Minimal Wear)
Dual Berettas | Switch Board (Battle-Scarred)
StatTrak™ SSG 08 | Fever Dream (Battle-Scarred)
G3SG1 | Black Sand (Minimal Wear)
Sticker | Twistzz (Foil) | Berlin 2019
Sticker | arT | Berlin 2019
StatTrak™ P250 | Verdigris (Factory New)
Sticker | EliGE (Foil) | Katowice 2019
USP-S | Caiman (Minimal Wear)
StatTrak™ UMP-45 | Corporal (Minimal Wear)
StatTrak™ UMP-45 | Corporal (Battle-Scarred)
StatTrak™ Negev | Terrain (Minimal Wear)
StatTrak™ MP7 | Armor Core (Minimal Wear)
StatTrak™ AUG | Syd Mead (Battle-Scarred)
SCAR-20 | Storm (Minimal Wear)
★ M9 Bayonet | Night (Field-Tested)
P2000 | Pulse (Field-Tested)
MP7 | Special Delivery (Well-Worn)
M249 | Nebula Crusader (Well-Worn)
Galil AR | Hunting Blind (Field-Tested)
FAMAS | Sergeant (Battle-Scarred)
CZ75-Auto | Hexane (Field-Tested)
★ Ursus Knife | Stained (Well-Worn)
StatTrak™ P250 | Contaminant (Well-Worn)
Souvenir AUG | Carved Jade (Minimal Wear)
Souvenir AUG | Carved Jade (Minimal Wear)
M4A4 | Urban DDPAT (Battle-Scarred)
Nova | Hyper Beast (Well-Worn)
M249 | Impact Drill (Field-Tested)
★ Specialist Gloves | Foundation (Minimal Wear)
★ Bayonet | Lore (Minimal Wear)
MAG-7 | Praetorian (Factory New)
★ Navaja Knife | Safari Mesh (Minimal Wear)
Sticker | rain (Holo) | Antwerp 2022
★ Butterfly Knife | Case Hardened (Minimal Wear)
★ Falchion Knife | Lore (Field-Tested)
★ Shadow Daggers | Doppler (Factory New)
StatTrak™ Galil AR | Signal (Battle-Scarred)
MAC-10 | Malachite (Field-Tested)
StatTrak™ Desert Eagle | Heirloom (Field-Tested)
USP-S | Target Acquired (Factory New)
StatTrak™ Nova | Antique (Factory New)
StatTrak™ M4A4 | Griffin (Minimal Wear)
Glock-18 | Vogue (Factory New)
AUG | Daedalus (Factory New)
Tec-9 | Mummy's Rot (Well-Worn)
MAG-7 | Copper Coated (Well-Worn)
Sticker | Boom (Foil) | 2020 RMR
Tec-9 | Sandstorm (Well-Worn)
StatTrak™ Nova | Toy Soldier (Well-Worn)
★ Ursus Knife | Urban Masked (Field-Tested)
★ Stiletto Knife | Stained (Battle-Scarred)
★ Broken Fang Gloves | Unhinged (Minimal Wear)
★ StatTrak™ Bayonet | Autotronic (Minimal Wear)
P2000 | Handgun (Factory New)
★ Karambit | Rust Coat (Battle-Scarred)
Rio 2022 Contenders Autograph Capsule
Rio 2022 Challengers Autograph Capsule
Rio 2022 Legends Autograph Capsule
Rio 2022 Legends Sticker Capsule
★ Survival Knife | Stained (Minimal Wear)
Desert Eagle | Code Red (Factory New)
★ Ursus Knife | Night Stripe (Field-Tested)
StatTrak™ Nova | Wild Six (Minimal Wear)
Sticker | Twistzz (Holo) | Paris 2023
★ Gut Knife | Damascus Steel (Field-Tested)
Antwerp 2022 Dust II Souvenir Package
StatTrak™ SSG 08 | Turbo Peek (Factory New)
StatTrak™ AWP | Chromatic Aberration (Minimal Wear)
Paris 2023 Legends Autograph Capsule
Galil AR | Sandstorm (Minimal Wear)
Sticker | Fire in the Hole (Holo)
MP9 | Hydra (Well-Worn)
StatTrak™ AWP | Asiimov (Field-Tested)
★ Bayonet | Freehand (Factory New)
Desert Eagle | Cobalt Disruption (Factory New)
StatTrak™ Glock-18 | Weasel (Factory New)
★ Butterfly Knife | Stained (Minimal Wear)
StatTrak™ MP7 | Armor Core (Well-Worn)
Sticker | MOUZ (Gold) | Stockholm 2021
XM1014 | Black Tie (Field-Tested)
PP-Bizon | Jungle Slipstream (Battle-Scarred)
MAG-7 | Silver (Factory New)
Sticker | Nemiga (Holo) | 2020 RMR
Sticker | BIG (Foil) | 2020 RMR
Paris 2023 Viewer Pass + 3 Souvenir Tokens
SG 553 | Candy Apple (Field-Tested)
★ M9 Bayonet
★ Nomad Knife | Blue Steel (Well-Worn)
G3SG1 | Flux (Minimal Wear)
★ Sport Gloves | Omega (Factory New)
AK-47 | Head Shot (Well-Worn)
★ Shadow Daggers | Autotronic (Field-Tested)
StatTrak™ Glock-18 | Vogue (Minimal Wear)
StatTrak™ SCAR-20 | Outbreak (Well-Worn)
AUG | Torque (Field-Tested)
StatTrak™ UMP-45 | Wild Child (Factory New)
★ Classic Knife | Scorched (Well-Worn)
MAG-7 | Popdog (Factory New)
StatTrak™ MP7 | Cirrus (Battle-Scarred)
MP9 | Goo (Battle-Scarred)
M249 | Blizzard Marbleized (Field-Tested)
MP7 | Whiteout (Field-Tested)
Officer Jacques Beltram | Gendarmerie Nationale
Tec-9 | Remote Control (Factory New)
StatTrak™ P2000 | Urban Hazard (Minimal Wear)
XM1014 | Blaze Orange (Field-Tested)
★ Talon Knife | Case Hardened (Well-Worn)
★ Falchion Knife | Doppler (Factory New)
USP-S | Kill Confirmed (Factory New)
AWP | Silk Tiger (Field-Tested)
SCAR-20 | Torn (Field-Tested)
★ Navaja Knife | Crimson Web (Minimal Wear)
Sticker | FlameZ (Holo) | Paris 2023
★ Karambit | Blue Steel (Battle-Scarred)
AK-47 | Steel Delta (Factory New)
StatTrak™ R8 Revolver | Bone Forged (Minimal Wear)
SG 553 | Darkwing (Battle-Scarred)
★ Bayonet | Gamma Doppler (Factory New)
StatTrak™ Dual Berettas | Marina (Battle-Scarred)
Sealed Graffiti | Applause (Wire Blue)
★ Huntsman Knife | Gamma Doppler (Factory New)
M249 | Downtown (Well-Worn)
Sticker | Chaos Marine (Foil)
★ Flip Knife | Marble Fade (Factory New)
Sticker | SIXER | Atlanta 2017
StatTrak™ Swap Tool
Sticker | nitr0 (Holo) | Paris 2023
★ StatTrak™ Flip Knife | Safari Mesh (Field-Tested)
AK-47 | Vulcan (Well-Worn)
Sticker | jabbi | Antwerp 2022
★ Specialist Gloves | Field Agent (Well-Worn)
Sticker | Titan (Foil) | Katowice 2015
★ Butterfly Knife | Lore (Battle-Scarred)
AK-47 | X-Ray (Field-Tested)
FAMAS | Waters of Nephthys (Minimal Wear)
★ Sport Gloves | Big Game (Minimal Wear)
★ Bowie Knife | Blue Steel (Field-Tested)
FAMAS | Prime Conspiracy (Factory New)
★ Nomad Knife | Stained (Minimal Wear)
★ StatTrak™ Karambit | Freehand (Field-Tested)
★ StatTrak™ Flip Knife | Crimson Web (Field-Tested)
Sticker | ZywOo (Glitter) | Paris 2023
StatTrak™ Music Kit | Juelz, Shooters
★ Skeleton Knife | Blue Steel (Battle-Scarred)
★ Survival Knife | Safari Mesh (Battle-Scarred)
StatTrak™ AWP | Fever Dream (Minimal Wear)
★ Flip Knife | Safari Mesh (Battle-Scarred)
Sticker | broky (Gold, Champion) | Antwerp 2022
Patch | FURIA | Stockholm 2021
Patch | Team Liquid | Stockholm 2021
StatTrak™ Dual Berettas | Elite 1.6 (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Rust Coat (Battle-Scarred)
StatTrak™ Tec-9 | Jambiya (Battle-Scarred)
★ Broken Fang Gloves | Yellow-banded (Minimal Wear)
★ Huntsman Knife | Rust Coat (Battle-Scarred)
★ Specialist Gloves | Foundation (Battle-Scarred)
Sticker | Vox Eminor (Holo) | Cologne 2014
StatTrak™ AK-47 | Point Disarray (Minimal Wear)
Sawed-Off | Highwayman (Minimal Wear)
Sticker | Twistzz (Gold, Champion) | Antwerp 2022
MP7 | Powercore (Field-Tested)
Sticker | Forty Two
Sticker | Kimberly
Negev | Loudmouth (Well-Worn)
XM1014 | Entombed (Factory New)
★ Falchion Knife | Ultraviolet (Minimal Wear)
Sealed Graffiti | Rice Bomb
Sealed Graffiti | Hotpot
Negev | dev_texture (Well-Worn)
★ Specialist Gloves | Foundation (Field-Tested)
★ Karambit | Boreal Forest (Minimal Wear)
StatTrak™ P250 | Contaminant (Field-Tested)
Dual Berettas | Pyre (Minimal Wear)
M4A1-S | Dark Water (Minimal Wear)
★ StatTrak™ Ursus Knife | Crimson Web (Field-Tested)
Sticker | refrezh (Holo) | Antwerp 2022
Sticker | Brollan (Holo) | Antwerp 2022
StatTrak™ USP-S | Printstream (Minimal Wear)
MAG-7 | Prism Terrace (Factory New)
Sticker | Purple Jaggyfish
Sticker | electroNic (Gold) | Stockholm 2021
StatTrak™ Glock-18 | Snack Attack (Minimal Wear)
Sticker | Vitality (Gold) | 2020 RMR
Sticker | FURIA (Holo) | Katowice 2019
Sticker | Gambit Esports (Holo) | Boston 2018
Sawed-Off | Origami (Factory New)
Sticker | electronic (Holo) | Paris 2023
Sticker | fame (Holo, Champion) | Rio 2022
Glock-18 | Pink DDPAT (Factory New)
Sticker | cadiaN (Holo) | Stockholm 2021
Sticker | electronic (Holo) | Rio 2022
Sticker | degster (Holo) | Rio 2022
Sticker | Jame (Holo, Champion) | Rio 2022
Sticker | SENER1 (Holo) | Rio 2022
Sticker | sinnopsyy (Holo) | Rio 2022
Sticker | nafany (Holo) | Rio 2022
Sticker | oSee (Holo) | Rio 2022
Pinups Capsule
Halo Capsule
Sticker | Keyd Stars | Katowice 2015
Sticker | Evil Geniuses (Foil) | Stockholm 2021
★ Karambit | Forest DDPAT (Battle-Scarred)
Souvenir M4A1-S | Welcome to the Jungle (Minimal Wear)
StatTrak™ UMP-45 | Primal Saber (Minimal Wear)
StatTrak™ AK-47 | Vulcan (Minimal Wear)
Sticker | shroud (Foil) | Krakow 2017
StatTrak™ XM1014 | XOXO (Minimal Wear)
P250 | Asiimov (Battle-Scarred)
★ Stiletto Knife | Case Hardened (Well-Worn)
Sticker | Team Spirit (Holo) | Antwerp 2022
Sticker | Tyloo (Foil) | Boston 2018
★ Talon Knife | Urban Masked (Battle-Scarred)
★ Bowie Knife | Rust Coat (Battle-Scarred)
★ Moto Gloves | POW! (Minimal Wear)
Sticker | Tyloo (Foil) | Stockholm 2021
P2000 | Obsidian (Field-Tested)
★ Survival Knife | Stained (Field-Tested)
FAMAS | Faulty Wiring (Factory New)
MP5-SD | Gauss (Minimal Wear)
M4A1-S | Atomic Alloy (Field-Tested)
StatTrak™ SSG 08 | Turbo Peek (Field-Tested)
StatTrak™ MP5-SD | Phosphor (Field-Tested)
Souvenir P90 | Ash Wood (Field-Tested)
Antwerp 2022 Contenders Autograph Capsule
Sticker | SPUNJ | Cologne 2015
Nova | Gila (Minimal Wear)
MAG-7 | Petroglyph (Minimal Wear)
StatTrak™ Negev | Prototype (Factory New)
★ StatTrak™ Ursus Knife | Blue Steel (Minimal Wear)
★ Sport Gloves | Superconductor (Well-Worn)
Glock-18 | Night (Minimal Wear)
M4A4 | Asiimov (Battle-Scarred)
Sticker | FaZe Clan (Gold) | Rio 2022
★ StatTrak™ Nomad Knife | Stained (Field-Tested)
P2000 | Grassland (Field-Tested)
★ Bayonet | Urban Masked (Field-Tested)
Sticker | Hiko | London 2018
★ Moto Gloves | 3rd Commando Company (Well-Worn)
StatTrak™ M4A1-S | Player Two (Field-Tested)
StatTrak™ Desert Eagle | Code Red (Well-Worn)
StatTrak™ M4A1-S | Basilisk (Factory New)
StatTrak™ AK-47 | Leet Museo (Field-Tested)
★ Driver Gloves | Racing Green (Battle-Scarred)
USP-S | Orion (Field-Tested)
StatTrak™ USP-S | Printstream (Battle-Scarred)
★ Bloodhound Gloves | Snakebite (Field-Tested)
StatTrak™ AUG | Stymphalian (Field-Tested)
StatTrak™ Desert Eagle | Naga (Factory New)
StatTrak™ SSG 08 | Turbo Peek (Minimal Wear)
M4A1-S | Player Two (Well-Worn)
StatTrak™ MP7 | Skulls (Minimal Wear)
StatTrak™ M4A1-S | Nightmare (Field-Tested)
StatTrak™ M4A4 | The Battlestar (Minimal Wear)
M4A4 | Zirka (Minimal Wear)
★ Specialist Gloves | Marble Fade (Battle-Scarred)
★ Huntsman Knife | Blue Steel (Well-Worn)
★ Flip Knife | Boreal Forest (Minimal Wear)
★ Huntsman Knife | Black Laminate (Minimal Wear)
★ Stiletto Knife | Urban Masked (Field-Tested)
★ Stiletto Knife | Urban Masked (Well-Worn)
★ StatTrak™ Gut Knife | Crimson Web (Field-Tested)
★ Driver Gloves | King Snake (Battle-Scarred)
★ StatTrak™ Bayonet | Boreal Forest (Field-Tested)
★ Flip Knife | Damascus Steel (Field-Tested)
★ Bayonet | Urban Masked (Battle-Scarred)
★ Bayonet | Boreal Forest (Field-Tested)
★ StatTrak™ Navaja Knife | Marble Fade (Factory New)
★ Bowie Knife | Crimson Web (Field-Tested)
★ Stiletto Knife | Damascus Steel (Well-Worn)
★ Flip Knife | Freehand (Factory New)
★ Talon Knife | Urban Masked (Field-Tested)
★ Bayonet | Bright Water (Battle-Scarred)
Tec-9 | Hades (Factory New)
Sticker | Cloud9 (Holo) | Boston 2018
★ Stiletto Knife | Night Stripe (Battle-Scarred)
Sticker | Tamara (Holo)
★ Hydra Gloves | Case Hardened (Battle-Scarred)
AK-47 | Bloodsport (Well-Worn)
★ Broken Fang Gloves | Needle Point (Minimal Wear)
★ Navaja Knife | Ultraviolet (Field-Tested)
★ Bloodhound Gloves | Charred (Battle-Scarred)
★ Hydra Gloves | Case Hardened (Field-Tested)
StatTrak™ M4A1-S | Mecha Industries (Minimal Wear)
★ Survival Knife | Night Stripe (Field-Tested)
★ Ursus Knife | Forest DDPAT (Field-Tested)
★ Huntsman Knife | Boreal Forest (Field-Tested)
★ Gut Knife | Black Laminate (Field-Tested)
MP9 | Pandora's Box (Minimal Wear)
★ Falchion Knife | Black Laminate (Minimal Wear)
★ Ursus Knife | Rust Coat (Battle-Scarred)
★ Specialist Gloves | Mogul (Battle-Scarred)
★ Gut Knife | Freehand (Factory New)
★ Gut Knife | Crimson Web (Field-Tested)
★ Driver Gloves | Queen Jaguar (Minimal Wear)
★ StatTrak™ Classic Knife | Urban Masked (Field-Tested)
★ Gut Knife | Case Hardened (Battle-Scarred)
★ Survival Knife | Blue Steel (Minimal Wear)
★ Huntsman Knife | Stained (Well-Worn)
★ StatTrak™ Shadow Daggers | Lore (Battle-Scarred)
★ StatTrak™ Huntsman Knife | Urban Masked (Field-Tested)
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)
R8 Revolver | Crazy 8 (Battle-Scarred)
StatTrak™ Sawed-Off | Kiss♥Love (Minimal Wear)
StatTrak™ MAC-10 | Disco Tech (Minimal Wear)
StatTrak™ SSG 08 | Bloodshot (Battle-Scarred)
StatTrak™ Desert Eagle | Code Red (Field-Tested)
Souvenir M4A1-S | VariCamo (Minimal Wear)
StatTrak™ SG 553 | Colony IV (Field-Tested)
StatTrak™ MP9 | Hydra (Field-Tested)
StatTrak™ MAC-10 | Toybox (Factory New)
Sticker | rox | Antwerp 2022
★ Bayonet | Autotronic (Field-Tested)
SCAR-20 | Splash Jam (Field-Tested)
Sealed Graffiti | Smirk (Monarch Blue)
Sealed Graffiti | Broken Heart (Jungle Green)
StatTrak™ P250 | Steel Disruption (Minimal Wear)
Patch | Renegades | Stockholm 2021
StatTrak™ M4A1-S | Cyrex (Field-Tested)
★ Moto Gloves | Cool Mint (Battle-Scarred)
Sticker | ZywOo (Gold) | Stockholm 2021
Patch | Gambit Gaming | Stockholm 2021
★ Skeleton Knife | Case Hardened (Minimal Wear)
★ Huntsman Knife | Freehand (Field-Tested)
Sticker | gxx- (Holo) | Paris 2023
Desert Eagle | Night Heist (Battle-Scarred)
Nova | Ranger (Battle-Scarred)
Sticker | vexite (Holo) | Paris 2023
Sticker | NAF (Holo) | Paris 2023
Sticker | CRUC1AL (Gold) | Paris 2023
Sticker | Techno4K (Gold) | Paris 2023
Sticker | Dycha (Gold) | Paris 2023
Sticker | Techno4K (Holo) | Paris 2023
Sticker | Snappi (Holo) | Paris 2023
Sticker | FASHR (Holo) | Paris 2023
Sticker | GamerLegion (Gold) | Paris 2023
Sticker | forZe eSports (Holo) | Paris 2023
Sticker | Movistar Riders | Stockholm 2021
StatTrak™ MAC-10 | Monkeyflage (Factory New)
USP-S | Target Acquired (Field-Tested)
★ StatTrak™ Bayonet | Black Laminate (Minimal Wear)
★ Nomad Knife | Slaughter (Minimal Wear)
Souvenir PP-Bizon | Breaker Box (Field-Tested)
Sticker | m0NESY (Holo) | Paris 2023
XM1014 | Oxide Blaze (Factory New)
Souvenir PP-Bizon | Breaker Box (Field-Tested)
Sticker | m0NESY (Holo) | Paris 2023
XM1014 | Oxide Blaze (Factory New)
StatTrak™ R8 Revolver | Fade (Field-Tested)
Stockholm 2021 Legends Sticker Capsule
StatTrak™ MAC-10 | Neon Rider (Factory New)
StatTrak™ XM1014 | Entombed (Minimal Wear)
★ Classic Knife | Stained (Well-Worn)
StatTrak™ AK-47 | Legion of Anubis (Field-Tested)
Sticker | seized (Foil) | Krakow 2017
Sticker | pashaBiceps (Foil) | Boston 2018
Sticker | Xyp9x (Foil) | Krakow 2017
Sticker | Virtus.Pro (Holo) | Cologne 2016
Sticker | Virtus.Pro (Foil) | Cologne 2015
Sticker | Virtus.Pro (Foil) | Boston 2018
Sticker | Team EnVyUs (Holo) | MLG Columbus 2016
Sticker | North (Holo) | Boston 2018
Sticker | Ninjas in Pyjamas (Foil) | Cologne 2016
Sticker | G2 Esports (Holo) | Cologne 2016
Sticker | Astralis (Holo) | MLG Columbus 2016
Sticker | pashaBiceps (Foil) | Krakow 2017
Sticker | mousesports (Holo) | Boston 2018
Sticker | FaZe Clan (Foil) | MLG Columbus 2016
MLG Columbus 2016 Legends (Holo-Foil)
MLG Columbus 2016 Challengers (Holo-Foil)
Krakow 2017 Legends Autograph Capsule
Krakow 2017 Challengers Autograph Capsule
Sticker | Astralis (Foil) | Boston 2018
DreamHack 2014 Legends (Holo-Foil)
Sticker | Grayhound Gaming (Gold) | Rio 2022
★ StatTrak™ Bayonet
StatTrak™ AK-47 | Neon Rider (Factory New)
Tec-9 | Decimator (Factory New)
StatTrak™ P250 | Cartel (Factory New)
Sticker | Eternal Fire (Gold) | Antwerp 2022
Sticker | FURIA (Gold) | Stockholm 2021
Sticker | Cloud9 G2A | Katowice 2015
StatTrak™ SG 553 | Colony IV (Factory New)
StatTrak™ AWP | Neo-Noir (Factory New)
Antwerp 2022 Mirage Souvenir Package
